B000BOQWGG:ouch!:e._s._o._h.,B000BOQWGG,"I have had plenty of pairs of Doc's but these are not the best for me........... they are not comfy and they tend to be a little tough to break in. As soon as I put them on and took ONE STEP ---- there right across the top of the shoe is a nice big crease......... It does not look nice and I am ""ticked"" about that...........plus I didnt expect the laces to have green and maroon colors mixed into the brown laces...... it looks dorky!Plus I have a manufacturing flaw in them.  Inside the heel the seam isnt quite right and it rubs my skin and hurts like heck! Hopefully the next model I get isnt like thses or they are going back....... Putting up with these for now.......",12,0.0
"B000NHTCMM:not_durable:t._touloumis_""mzlou2""",B000NHTCMM,"Very cute, I always get compliments, but I wear them only every so often and the bottoms are all ripped up - you'd think I wear them everyday!  I'm just upset I paid over $60 for shoes that will BARELY last one season",2,0.0
B000EZXS32:cute_shoe_but_not_practical:taheerah_a._mcneil,B000EZXS32,"I purchased these shoes for my upcoming wedding because I have a hard time walking in really high heels. They are extremely cute but the satin ribbon ankle strap doesn't hold my foot firmly in the shoe. When I walked around in them, I could feel them ""flopping"". Also, anytime I raised my foot (to simulate my fiance taking off the garter) there was too much gap between my foot and the shoe. So, just be aware of this if you decide to purchase this shoe. For the price, this is not worth the buy",1,0.0
B000E44SA0:size_is_not_correctly_labeled:tigger_daddie,B000E44SA0,"I usually wear size 7M. However, This shoe of size 7M is way too small. I have to return it to AMAZON and pay the shipping fee for the return by myself. I will advise anyone who is interested in this shoe to by 1 size larger than the normal size you wear",-1,0.0
B0006L52A6:bad_design:l._clerge,B0006L52A6,"Haven't worn it yet to test the quality however, the structure is all wrong. One leg is more narrow than than the other (I could barely fit my leg into it) and the waist is really high",-3,0.0
"B000M8RA08:the_size_is_all_wrong!:a._thompson_""purple_princess""",B000M8RA08,"I loved the bathing suit the first time I laid eyes on it so I purchased it.  I'm actually small but I do have thick thighs so I got a medium.  But when it was delivered and I tried it on, it was too small!  I should have gotten a large.  The medium made me look like I had these big love handles.  So please whatever your size is make sure you get it a size bigger.  But other than that the bathing suit is great.  I'm just going to have to loose the love handles",3,0.0
B000FVBWYC:comfy_but_so_so_color_looks_different_in_pic:shiree_rose_trozera,B000FVBWYC,Shoe is comfortable but the description says off white or white with beige.  Which leads you to think the color is mostly white.  The true color is neither!  There is absolutely NO WHITE in these shoes.  I purchased these shoes because I needed some white off/white shoes NOT beige shoes.  No I did not return them it's too much of a hassel to return things so I kept them and I have worn them once but do not like the color at all.  The style is not as cute as her others but they are still a great bargain.  The materials are an excellent quality.  If you like beige and earthtones you will like these shoes,2,-0.5
B000LOAOH4:look_closely:c._kaeding,B000LOAOH4,"Look closely at the picture of the ""white"" top.  It actually has red around the top and on the straps.  To those of us who don't want ugly red zig-zag thread.......",4,0.0
"B000JNDWTO:decent_fabric,_horrible_band,_couldn't_notice_the_fit.:w._j._regotti",B000JNDWTO,"The fabric is a little stiff at first, bust softens to a acceptable level after a few washes. The elastic band around the waist of these boxers contracts to the point where it wrinkles up the fabric. After a few hours of wear you have the indents of the crinkled up band on your skin and it feels quite uncomfortable. While cheap and nicely packaged, these things suck. Spend some money on decent underwear",0,3.0
B000FKB11C:beware_of_sizes:b._j._swanson,B000FKB11C,"The sizes listed do not print on the invoice.  Instead, Army Navy uses 'codes.'  When they send the wrong sizes, then they blame you for not selecting the right size and want a 15% restocking fee plus return shipping",-2,0.0
"B000IRHH8S:waste_of_money:j._parker_""satisfied_in_every_way""",B000IRHH8S,"The shoes weren't the color that I wanted them to be. To me, there cheap and are over priced! The quality is not good. They can easily be scuffed. Am definitely returning them!!",0,-1.5
B000IRHH8S:a_bit_disappointed...:superflylinz,B000IRHH8S,"...the shoes weren't quite what I thought they would be, although for 40 bucks I probably shouldn't have been expecting the highest quality pump. They looked a bit cheap, and on top of it all, they were too small for me. There was no return slip in the package, no number to call, no way to send the shoes back to make a return, so now I'm stuck with 40 dollar cheap looking shoes that no one but my little neices can fit into--and they're a bit too young to be dressing like ladies of the evening. My fault for buying shoes at a place called ""Hollywood Heelz,"" I should have known better.I will say this though, I like the thin heel and the shoes came in a timely fashion. If I could fit them, I'd give them a 2-2 1/2 for that alone",-3,-1.5
"B000CSVOBY:runs_small:elizabeth_t._swaim_""kittibites""",B000CSVOBY,"The material's good, but the suit runs way too small.  I ordered the appropriate size based on my measurements, but all my wobbly bits are poking out.  I don't think I could wear this out in public!  Not for curvy women!",3,0.0
B0002TW1DI:too_much_fuzz:a._khan,B0002TW1DI,"these socks are okay, but after one wash, they were covered with so much fuzz and didnt look good. so the next pair i washed it with hand and dried alone to avoid the fuzz. also they are too warm socks",3,-1.0
"B0002FHJFW:size_fits_none:max_loring_""dog_lover""",B0002FHJFW,I received the wrong size and color. I returned the product and was told that a refund would be credited to my account.....I am still waiting.....was told that amazon forbids seller to ship a replacement item,-2,0.0
"B000G2V59M:cute,_but_impossible_to_keep_on!:b._davis",B000G2V59M,"These shoes were very cute, as I thought they would be from the pictures.  But because of the sides being so short, they were nearly impossible to keep on my feet when walking, especially when going up stairs.  I returned them after only wearing them for 1 day..",2,0.0
"B0007MCPFY:not_made_in_italy:woodbill_""wzwz""",B0007MCPFY,"If you see the description: made in Italy, be careful! They are made in India. I have written to amazon to let them change. But if you still see made in Italy, be careful! Everybody knows the difference",2,2.25
B000IZBDYO:don't_waste_your_money:m._antoinette,B000IZBDYO,"The photo is quite deceiving.  This suit is made out of cheap polyester fabric that looks cheap, shiny, and is horrible to the touch.  My three year olds hate the uncomfortable stiffness.  Spend the extra money for a decent fabric that is actually practical for a toddler if they really need a suit",-6,0.0
"B0007MXZGW:gorgeous_color,_but_poor_quality.:john_m._fetzer_jr.",B0007MXZGW,"The tie does have gorgeous color to it, but when the description says ""good quality"" its a little off base.",0,2.5
B0002IC652:very_cheap:kate,B0002IC652,The other reviewer is spot on. These are pretty (but not truly mirrored) and they broke after only 4 weeks use.  I bought a pair of aviators at a gas station that was made of much sturdier materials for half the price.  Definitely not worth the $16,0,1.6
"B0002IC652:prettyandcheap:douglas_s._evans_""simian""",B0002IC652,"They're pretty, but flimsy.  Very light construction.  The lens is not really mirrored, so if you attempting to hide your eyes, forget it.  It would be better to spend some real money and get a more professional pair than a cheap Chinese knock-off.  Gave them two stars simply because they are good looking, but cheap--and they feel that way on your face.",1,1.6
B0006N3KQW:quality's_gone_down_the_tubes:captain_jack,B0006N3KQW,"I have worn Jockeys for almost 20 years, but the quality has gone downhill dramatically in the past few years. The fabric covering the elastic waistband wears out very quickly, and the underwear is, for some unfathomable reason, heavily perfumed! I had to wash them at least 5-6 times to get the smell out. Plus, some of the elastic on the bottom was too tight, and some was so loose I couldn't wear them -- and they were all the same size. Very inconsistent quality. I do not recommend these anymore",-1,-0.5
B000A20T2W:dissappointed:penelopy,B000A20T2W,"I've had this coin purse not even 2 months now, and I've only used it about 7 times.  Unfortunately, the ZIPPER broke already! I couldn't believe it.",0,3.0
"B000A2T3EM:not_so_great:d._majumdar_""scientist_shopahollic""",B000A2T3EM,"I purchased this item judging by its comfort factor. All's well except the buckles do not have pins to hold the straps in place. The straps slip off occassionally, causing the shoes to come loose.",2,0.3333333333333333
"B000A2T3EM:turpentine_smell:s._jones_""willowshay""",B000A2T3EM,"I ordered a pair of black cotton mary janes and I had the same problem with the turpentine smell. I was prepared for it because of reading other reviews and was willing to take my chances for the price. I wonder if any of the other colors or fabrics had the same problem. I washed them in vinegar water immediately after buying them and it helped some but they still stink. I'm going to wrap them in a clear plastic bag to transport them on the plane and hope they don't make my other clothes smell, and I'm still going to wear them and hope nobody else can smell them.",-1,0.3333333333333333
